transaction_id,date,product_name,category,quantity,unit_price,total_amount,region,customer_id,payment_method
TXN001,2024-01-05,Laptop Pro 15,Electronics,2,1299.99,2599.98,North,C1001,Credit Card
TXN002,2024-01-07,Wireless Mouse,Electronics,5,29.99,149.95,South,C1002,PayPal
TXN003,2024-01-10,Office Chair,Furniture,3,199.99,599.97,West,C1003,Credit Card
TXN004,2024-01-12,Standing Desk,Furniture,1,549.99,549.99,North,C1004,Bank Transfer
TXN005,2024-01-15,Mechanical Keyboard,Electronics,4,149.99,599.96,South,C1005,Credit Card
TXN006,2024-01-18,Monitor 27inch,Electronics,2,399.99,799.98,West,C1006,PayPal
TXN007,2024-01-20,Desk Lamp,Home Office,6,45.99,275.94,North,C1007,Credit Card
TXN008,2024-01-22,Webcam HD,Electronics,3,89.99,269.97,South,C1008,Credit Card
TXN009,2024-01-25,Ergonomic Mouse,Electronics,8,79.99,639.92,West,C1009,PayPal
TXN010,2024-01-28,USB Hub,Electronics,10,24.99,249.90,North,C1010,Credit Card
TXN011,2024-02-01,Laptop Stand,Home Office,4,59.99,239.96,South,C1011,Bank Transfer
TXN012,2024-02-04,Noise Canceling Headphones,Electronics,2,299.99,599.98,West,C1012,Credit Card
TXN013,2024-02-07,File Cabinet,Furniture,1,189.99,189.99,North,C1013,Credit Card
TXN014,2024-02-10,Whiteboard,Home Office,3,79.99,239.97,South,C1014,PayPal
TXN015,2024-02-13,External SSD 1TB,Electronics,5,129.99,649.95,West,C1015,Credit Card
TXN016,2024-02-16,Office Supplies Kit,Home Office,7,34.99,244.93,North,C1016,Credit Card
TXN017,2024-02-19,Smart Speaker,Electronics,4,99.99,399.96,South,C1017,PayPal
TXN018,2024-02-22,Desk Organizer,Home Office,8,19.99,159.92,West,C1018,Credit Card
TXN019,2024-02-25,Portable Charger,Electronics,6,49.99,299.94,North,C1019,Bank Transfer
TXN020,2024-02-28,Coffee Maker,Appliances,2,149.99,299.98,South,C1020,Credit Card
TXN021,2024-03-02,Air Purifier,Appliances,1,249.99,249.99,West,C1001,Credit Card
TXN022,2024-03-05,Tablet 10inch,Electronics,3,449.99,1349.97,North,C1002,PayPal
TXN023,2024-03-08,Bookshelf,Furniture,2,129.99,259.98,South,C1003,Credit Card
TXN024,2024-03-11,LED Strip Lights,Home Office,10,12.99,129.90,West,C1004,Credit Card
TXN025,2024-03-14,Wireless Charger,Electronics,5,39.99,199.95,North,C1005,PayPal
TXN026,2024-03-17,Mini Fridge,Appliances,1,199.99,199.99,South,C1006,Credit Card
TXN027,2024-03-20,Cable Management Kit,Home Office,8,15.99,127.92,West,C1007,Credit Card
TXN028,2024-03-23,Gaming Controller,Electronics,4,59.99,239.96,North,C1008,Bank Transfer
TXN029,2024-03-26,Plant Stand,Furniture,6,29.99,179.94,South,C1009,Credit Card
TXN030,2024-03-29,Portable Fan,Appliances,10,24.99,249.90,West,C1010,PayPal
TXN031,2024-04-01,Smartphone Case,Electronics,15,19.99,299.85,North,C1011,Credit Card
TXN032,2024-04-04,Desk Mat,Home Office,7,24.99,174.93,South,C1012,Credit Card
TXN033,2024-04-07,Power Strip,Electronics,8,29.99,239.92,West,C1013,PayPal
TXN034,2024-04-10,Wall Clock,Home Office,5,34.99,174.95,North,C1014,Credit Card
TXN035,2024-04-13,Bluetooth Adapter,Electronics,12,14.99,179.88,South,C1015,Credit Card
TXN036,2024-04-16,Trash Can,Home Office,6,39.99,239.94,West,C1016,Bank Transfer
TXN037,2024-04-19,Wireless Earbuds,Electronics,3,79.99,239.97,North,C1017,Credit Card
TXN038,2024-04-22,Coat Rack,Furniture,2,69.99,139.98,South,C1018,PayPal
TXN039,2024-04-25,Document Scanner,Electronics,1,199.99,199.99,West,C1019,Credit Card
TXN040,2024-04-28,Humidifier,Appliances,4,59.99,239.96,North,C1020,Credit Card
TXN041,2024-05-01,Laptop Bag,Home Office,5,49.99,249.95,South,C1001,PayPal
TXN042,2024-05-04,HDMI Cable Pack,Electronics,10,9.99,99.90,West,C1002,Credit Card
TXN043,2024-05-07,Foot Rest,Furniture,3,44.99,134.97,North,C1003,Credit Card
TXN044,2024-05-10,Desk Fan,Appliances,6,29.99,179.94,South,C1004,Bank Transfer
TXN045,2024-05-13,Privacy Screen,Electronics,2,59.99,119.98,West,C1005,Credit Card
TXN046,2024-05-16,Paper Shredder,Home Office,1,89.99,89.99,North,C1006,PayPal
TXN047,2024-05-19,Microphone,Electronics,2,149.99,299.98,South,C1007,Credit Card
TXN048,2024-05-22,Storage Bins,Home Office,8,14.99,119.92,West,C1008,Credit Card
TXN049,2024-05-25,Ring Light,Electronics,3,39.99,119.97,North,C1009,Credit Card
TXN050,2024-05-28,Electric Kettle,Appliances,4,44.99,179.96,South,C1010,PayPal
